product_category_name_english,seller_id,price
health_beauty,492,1258681.34
watches_gifts,101,1205005.68
bed_bath_table,196,1036988.68
sports_leisure,481,988048.97
computers_accessories,287,911954.32
furniture_decor,370,729762.49
cool_stuff,267,635290.85
housewares,468,632248.66
auto,383,592720.11
garden_tools,237,485256.46
toys,252,483946.6
baby,244,411764.89
perfumery,175,399124.87
telephony,149,323667.52999999997
office_furniture,34,273960.7
stationery,173,230943.23
computers,9,222963.13
pet_shop,137,214315.41
musical_instruments,70,191498.88
small_appliances,105,190648.58
electronics,149,160246.74
consoles_games,82,157465.22
fashion_bags_accessories,99,152823.54
construction_tools_construction,128,144677.59
luggage_accessories,73,140429.98
home_appliances_2,46,113317.74
home_construction,68,83088.12
home_appliances,48,80171.53
agro_industry_and_commerce,34,72530.47
furniture_living_room,56,68916.56
fixed_telephony,49,59583.0
home_confort,20,58572.04
air_conditioning,52,55024.96
audio,36,50688.5
small_appliances_home_oven_and_coffee,15,47445.71
books_general_interest,54,46856.88
kitchen_dining_laundry_garden_furniture,52,46328.37
construction_tools_lights,37,41080.0
construction_tools_safety,35,40544.52
industry_commerce_and_business,29,39669.61
food,58,29393.41
market_place,59,28378.47
costruction_tools_garden,33,25715.89
art,36,24202.64
fashion_shoes,15,23562.77
drinks,36,22428.7
signaling_and_security,46,21509.23
furniture_bedroom,23,20028.78
books_technical,26,19096.06
costruction_tools_tools,24,15903.95
food_drink,34,15179.48
fashion_male_clothing,13,10797.82
fashion_underwear_beach,9,9541.55
christmas_supplies,17,8800.82
tablets_printing_image,6,7528.41
cine_photo,14,6933.46
music,19,6034.35
dvds_blu_ray,10,5999.39
books_imported,7,4639.85
party_supplies,12,4485.18
furniture_mattress_and_upholstery,5,4368.08
fashio_female_clothing,11,2803.64
fashion_sport,10,2119.51
la_cuisine,2,2054.99
arts_and_craftmanship,13,1814.01
diapers_and_hygiene,8,1567.59
flowers,3,1110.04
home_comfort_2,4,760.27
cds_dvds_musicals,1,730.0
fashion_childrens_clothes,4,569.85
security_and_services,2,283.28999999999996
